run_id,topology,select_prob,env_scalar,use_ecm,rep,seed,generations_run,final_mean_fitness,late_mean_fitness,late_frac_high,final_peaks_colonized
ring_lattice_sp1.0_env1.0_ecm0_05,ring_lattice,1.0,1.0,0,5,2932974360,300,0.42242,0.41487,0.0,0
ring_lattice_sp0.0_env0.0_ecm1_05,ring_lattice,0.0,0.0,1,5,3282218467,300,0.10314,0.10469,0.0,0
complete_sp0.5_env0.0_ecm1_05,complete,0.5,0.0,1,5,401058051,300,0.91694,0.92253,0.7107,1
complete_sp1.0_env0.5_ecm1_05,complete,1.0,0.5,1,5,1079929774,300,0.95552,0.95738,0.898,1
complete_sp1.0_env0.0_ecm0_06,complete,1.0,0.0,0,6,1913777019,88,1.0,0.72888,0.3098,1
ring_lattice_sp1.0_env1.0_ecm1_05,ring_lattice,1.0,1.0,1,5,302172736,300,0.54022,0.53303,0.0,0
complete_sp1.0_env0.0_ecm1_06,complete,1.0,0.0,1,6,2873637388,65,1.0,0.6618,0.0969,1
complete_sp0.5_env0.0_ecm0_06,complete,0.5,0.0,0,6,510815009,300,0.86857,0.85379,0.5621,0
complete_sp0.0_env0.0_ecm0_06,complete,0.0,0.0,0,6,4273756618,300,0.1001,0.09826,0.0,0
complete_sp1.0_env1.0_ecm1_05,complete,1.0,1.0,1,5,2519505414,300,0.91949,0.91821,0.6784,1
complete_sp1.0_env0.5_ecm0_06,complete,1.0,0.5,0,6,1408939768,300,0.95761,0.95304,0.901,1
small_world_sp1.0_env0.0_ecm1_06,small_world,1.0,0.0,1,6,3720013014,270,1.0,0.89076,0.2612,1
small_world_sp1.0_env0.0_ecm0_06,small_world,1.0,0.0,0,6,2273571824,300,0.89283,0.84265,0.0,0
complete_sp0.0_env0.0_ecm1_04,complete,0.0,0.0,1,4,2081434684,300,0.1028,0.09962,0.0,0
small_world_sp0.5_env0.0_ecm0_06,small_world,0.5,0.0,0,6,2491332502,300,0.65733,0.60865,0.0,0
complete_sp1.0_env1.0_ecm0_06,complete,1.0,1.0,0,6,4290326878,300,0.91054,0.87367,0.3741,1
small_world_sp0.0_env0.0_ecm0_06,small_world,0.0,0.0,0,6,510431941,300,0.09678,0.10139,0.0,0
small_world_sp0.5_env0.0_ecm1_06,small_world,0.5,0.0,1,6,551104637,300,0.67885,0.62742,0.0,0
small_world_sp1.0_env0.5_ecm0_06,small_world,1.0,0.5,0,6,2934076927,300,0.68394,0.65106,0.0,0
small_world_sp1.0_env0.5_ecm1_06,small_world,1.0,0.5,1,6,3873445580,300,0.7259,0.71317,0.0,0
small_world_sp1.0_env1.0_ecm0_06,small_world,1.0,1.0,0,6,1062740707,300,0.52681,0.51822,0.0,0
small_world_sp0.0_env0.0_ecm1_06,small_world,0.0,0.0,1,6,841544409,300,0.10278,0.09689,0.0,0
ring_lattice_sp1.0_env0.0_ecm0_06,ring_lattice,1.0,0.0,0,6,3861586233,300,0.90508,0.82668,0.0402,0
small_world_sp1.0_env1.0_ecm1_06,small_world,1.0,1.0,1,6,4031129500,300,0.48735,0.48328,0.0,0
