run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s1.0_ecm1_top_fitness_vc50_02,1.0,1,top_fitness,50,2064910812,500,1,,"{""1"": 269}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc500_02,0.5,1,top_fitness,500,1869163122,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_01,1.0,1,top_fitness,200,3034498380,500,1,,"{""1"": 315}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc0_03,0.5,1,top_fitness,0,57207261,500,1,,"{""1"": 298}","{""1"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc0_03,0.5,0,top_fitness,0,1394688592,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc50_03,0.5,1,top_fitness,50,4002488558,500,1,,"{""1"": 350}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc50_03,0.5,0,top_fitness,50,2771154979,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc500_02,1.0,0,top_fitness,500,2122855990,500,1,,"{""2"": 220}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_03,0.5,0,top_fitness,200,320763903,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_top_fitness_vc200_03,0.5,1,top_fitness,200,4216201379,500,1,,"{""2"": 165}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc0_03,1.0,1,top_fitness,0,1932876687,500,1,,"{""1"": 280}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""1"": 10, ""3"": 10, ""0"": 10}"
s1.0_ecm1_top_fitness_vc200_02,1.0,1,top_fitness,200,2315738657,500,2,,"{""1"": 231, ""3"": 472}","{""1"": ""valley"", ""3"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc0_03,1.0,0,top_fitness,0,1410297680,500,0,,{},{},"{""2"": 10, ""1"": 10, ""0"": 10, ""4"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc500_03,0.5,0,top_fitness,500,2072729658,500,2,,"{""2"": 161, ""3"": 436}","{""2"": ""valley"", ""3"": ""valley""}","{""1"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""2"": 10}"
s1.0_ecm0_top_fitness_vc50_03,1.0,0,top_fitness,50,3951128643,500,1,,"{""2"": 272}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_03,1.0,0,top_fitness,200,4272618145,500,1,,"{""2"": 235}","{""2"": ""valley""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
