run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.25_ecm0_random_vc200_16,0.25,0,random,200,595743999,500,0,,{},{},"{""1"": 10, ""3"": 10, ""2"": 10, ""4"": 10, ""0"": 10}"
s0.25_ecm1_top_fitness_vc200_16,0.25,1,top_fitness,200,4130792664,500,2,,"{""0"": 168, ""1"": 355}","{""0"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_top_fitness_vc200_16,0.5,0,top_fitness,200,3587980943,500,1,,"{""2"": 151}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.25_ecm1_random_vc200_16,0.25,1,random,200,304334577,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_16,0.5,1,top_fitness,200,125970118,500,2,,"{""2"": 143, ""1"": 379}","{""2"": ""valley"", ""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_16,0.5,0,random,200,1407703767,500,1,,"{""3"": 446}","{""3"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_top_fitness_vc200_16,1.0,0,top_fitness,200,3918352046,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm1_top_fitness_vc200_15,1.5,1,top_fitness,200,2452772502,500,1,,"{""1"": 285}","{""1"": ""in_situ""}","{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm0_random_vc200_16,1.0,0,random,200,4143357440,500,0,,{},{},"{""2"": 10, ""3"": 10, ""0"": 10, ""4"": 10, ""1"": 10}"
s1.5_ecm1_random_vc200_14,1.5,1,random,200,2774223150,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm1_random_vc200_16,0.5,1,random,200,882631264,500,2,,"{""1"": 468, ""0"": 480}","{""1"": ""in_situ"", ""0"": ""in_situ""}","{""0"": 10, ""2"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm1_top_fitness_vc200_16,1.0,1,top_fitness,200,3291668003,500,1,,"{""1"": 153}","{""1"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_top_fitness_vc200_16,1.5,0,top_fitness,200,558072159,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.5_ecm0_random_vc200_16,1.5,0,random,200,3621404263,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s1.0_ecm1_random_vc200_15,1.0,1,random,200,3695074722,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_top_fitness_vc200_17,0.25,0,top_fitness,200,3729955209,500,1,,"{""2"": 172}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
